station_id,station_name,latitude,longitude,city_id,city_name
GHCND:USW00014748,"ELMIRA CORNING REGIONAL AIRPORT, NY US",42.15944,-76.89194,CITY:US360009,"Elmira, NY US"
GHCND:USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,CITY:US360010,"Hempstead, NY US"
GHCND:USW00054787,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73417,-73.41694,CITY:US360011,"Huntington Station, NY US"
GHCND:USW00064758,"ITHACA 13 E, NY US",42.4401,-76.2462,CITY:US360012,"Ithaca, NY US"
GHCND:USC00367729,"RUSSELL RIVER, PA US",41.9381,-79.1333,CITY:US360013,"Jamestown, NY US"
GHCND:USC00307721,"SHOKAN BROWN STATION, NY US",41.95,-74.2,CITY:US360014,"Kingston, NY US"
GHCND:USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,CITY:US360015,"Levittown, NY US"
GHCND:USW00094725,"MASSENA INTERNATIONAL AIRPORT, NY US",44.93583,-74.84583,CITY:US360016,"Massena, NY US"
GHCND:USW00004789,"MONTGOMERY ORANGE CO AIRPORT, NY US",41.50917,-74.265,CITY:US360017,"Middletown, NY US"
GHCND:USW00094745,"WESTCHESTER CO AIRPORT, NY US",41.06694,-73.7075,CITY:US360018,"New City, NY US"
GHCND:USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,CITY:US360019,"New York, NY US"
GHCND:USW00004724,"NIAGARA FALLS INTERNATIONAL AIRPORT, NY US",43.10833,-78.93806,CITY:US360020,"Niagara Falls, NY US"
GHCND:USC00306164,"OGDENSBURG 4 NE, NY US",44.7281,-75.4442,CITY:US360021,"Ogdensburg, NY US"
GHCND:USC00308935,"WALTON 5 NE, NY US",42.23333,-75.08333,CITY:US360022,"Oneonta, NY US"
GHCND:USW00054773,"FULTON OSWEGO CO AIRPORT, NY US",43.34972,-76.38472,CITY:US360023,"Oswego, NY US"
GHCND:USW00094733,"PLATTSBURGH CLINTON CO AIRPORT, NY US",44.68722,-73.52306,CITY:US360024,"Plattsburgh, NY US"
GHCND:USW00064756,"MILLBROOK 3 W, NY US",41.7857,-73.7422,CITY:US360025,"Poughkeepsie, NY US"
GHCND:USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",43.1167,-77.6767,CITY:US360026,"Rochester, NY US"
GHCND:USR0000NSAR,"SARA NEW YORK, NY US",43.0078,-73.6511,CITY:US360027,"Saratoga Springs, NY US"
GHCND:USW00014771,"SYRACUSE HANCOCK INTERNATIONAL AIRPORT, NY US",43.1111,-76.1038,CITY:US360028,"Syracuse, NY US"
GHCND:USW00094794,"UTICA ONEIDA CO AIRPORT, NY US",43.145,-75.38389,CITY:US360029,"Utica, NY US"
GHCND:USW00094790,"WATERTOWN AIRPORT, NY US",43.98867,-76.02623,CITY:US360030,"Watertown, NY US"
GHCND:USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.6386,-73.7622,CITY:US360031,"Yonkers, NY US"
GHCND:USC00317097,"RANDLEMAN, NC US",35.8222,-79.7917,CITY:US370001,"Asheboro, NC US"
GHCND:USW00053878,"ASHEVILLE 13 S, NC US",35.4185,-82.5567,CITY:US370002,"Asheville, NC US"
GHCND:USC00409071,"TRADE, TN US",36.35,-81.73333,CITY:US370003,"Boone, NC US"
GHCND:USW00093783,"BURLINGTON ALAMANCE REGIONAL AIRPORT, NC US",36.04667,-79.47694,CITY:US370004,"Burlington, NC US"
GHCND:USW00053872,"MONROE AIRPORT, NC US",35.01694,-80.62056,CITY:US370005,"Charlotte, NC US"
GHCND:USW00093785,"CHAPEL HILL WILLIAMS AIRPORT, NC US",35.93333,-79.06417,CITY:US370006,"Durham, NC US"
GHCND:USW00013786,"ELIZABETH CITY COAST GUARD AIR STATION, NC US",36.26056,-76.175,CITY:US370007,"Elizabeth City, NC US"
GHCND:USW00093740,"FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD, NC US",34.99139,-78.88028,CITY:US370008,"Fayetteville, NC US"
GHCND:USW00093740,"FAYETTEVILLE REGIONAL AIRPORT GRANNIS FIELD, NC US",34.99139,-78.88028,CITY:US370009,"Fort Bragg, NC US"
GHCND:USW00053870,"GASTONIA MUNICIPAL AIRPORT, NC US",35.19667,-81.15583,CITY:US370010,"Gastonia, NC US"
GHCND:USW00013723,"GREENSBORO AIRPORT, NC US",36.0969,-79.9432,CITY:US370011,"Greensboro, NC US"
GHCND:USC00313648,"GREENVILLE 3 S, NC US",35.56667,-77.38333,CITY:US370012,"Greenville, NC US"
GHCND:USW00053878,"ASHEVILLE 13 S, NC US",35.4185,-82.5567,CITY:US370013,"Hendersonville, NC US"
GHCND:USW00003810,"HICKORY FAA AIRPORT, NC US",35.74207,-81.38229,CITY:US370014,"Hickory, NC US"
